#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1705045986,712899,7873224,140.30.20.1,1,60,7792552,7792552,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,587,47830,6,0,18,0,0,0,0
1705045986,712899,7873224,140.30.20.1,1,60,7792552,7792552,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,587,54590,6,0,18,0,0,0,0
1705045986,712899,7873224,140.30.20.1,1,60,7794972,7794972,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,587,59476,6,0,18,0,0,0,0
1705045986,712899,7873224,140.30.20.1,1,60,7792596,7792596,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,587,59482,6,0,18,0,0,0,0
1705045986,712899,7873224,140.30.20.1,2,176,7792552,7792596,0,0,140.30.20.3,40.101.92.22,140.30.20.2,65535,456,0,1281,1,192,0,0,0,0,0
1705045986,712899,7873224,140.30.20.1,1,60,7792552,7792552,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,587,54584,6,0,18,0,0,0,0
1705045986,712899,7873224,140.30.20.1,1,60,7792580,7792580,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,587,47844,6,0,18,0,0,0,0
1705045986,712899,7873224,140.30.20.1,33,3497,7792564,7802252,0,0,152.148.48.6,40.101.92.22,140.30.20.2,456,456,59482,587,6,0,27,0,0,0,0
1705045986,712899,7873224,140.30.20.1,35,4108,7792284,7802260,0,0,152.148.48.4,40.101.92.22,140.30.20.2,456,456,54590,587,6,0,27,0,0,0,0
1705045986,712899,7873224,140.30.20.1,28,7311,7792580,7802252,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,842,54590,6,0,25,0,0,0,0
1705045986,712899,7873224,140.30.20.1,25,11213,7792588,7802200,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,1007,47830,6,0,25,0,0,0,0
1705045986,712899,7873224,140.30.20.1,25,7095,7795016,7802288,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,921,59476,6,0,25,0,0,0,0
1705045986,712899,7873224,140.30.20.1,33,3998,7792316,7802204,0,0,152.148.48.5,40.101.92.22,140.30.20.2,456,456,47830,587,6,0,27,0,0,0,0
1705045986,712899,7873224,140.30.20.1,29,7466,7792604,7802300,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,846,47844,6,0,25,0,0,0,0
1705045986,712899,7873224,140.30.20.1,34,3543,7792284,7802292,0,0,152.148.48.6,40.101.92.22,140.30.20.2,456,456,59476,587,6,0,27,0,0,0,0
1705045986,712899,7873224,140.30.20.1,29,7331,7792620,7802248,0,0,40.101.92.22,140.30.20.2,0.0.0.0,456,456,805,59482,6,0,25,0,0,0,0
